name,games,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,id
E'Twaun Moore,598,11.4,0.535,0.338,0.106,2.5,7.9,5.2,12.6,1.6,0.8,10.7,17.3,6.5,8.3,14.8,0.057,-1.7,-0.3,-1.9,0.2,1439
Gene Moore,465,15.7,0.5,0.007,0.27,11.9,21.6,16.7,7.9,1.3,3.1,17.1,21.1,8.0,16.8,24.8,0.101,-2.8,0.4,-2.5,-0.1,1440
Johnny Moore,520,16.7,0.505,0.086,0.259,3.3,9.3,6.3,36.8,3.5,0.5,19.4,17.8,15.2,14.9,30.1,0.108,1.2,1.0,2.2,14.4,1441
Mikki Moore,564,12.5,0.597,0.006,0.419,8.9,16.1,12.5,6.3,0.9,2.2,16.4,14.4,13.9,8.6,22.5,0.105,-2.1,-0.1,-2.3,-0.7,1442
Otto Moore,682,13.1,0.481,,0.301,7.7,23.7,15.8,8.4,1.3,2.8,,,6.0,18.7,24.7,0.07,-1.1,1.5,0.4,3.9,1443
Tracy Moore,119,12.7,0.507,0.304,0.259,4.6,7.0,5.8,11.4,1.8,0.3,10.7,22.8,1.1,0.7,1.8,0.051,-0.8,-1.2,-2.0,0.0,1444
Ja Morant,307,20.2,0.559,0.246,0.37,3.1,12.6,7.8,36.2,1.5,0.8,14.3,30.6,14.4,9.7,24.1,0.118,3.4,-0.6,2.7,11.8,1445
Eric Moreland,83,13.3,0.531,0.007,0.243,10.6,27.7,19.0,12.6,1.8,5.5,24.9,9.8,0.6,1.7,2.3,0.124,-3.0,3.1,0.1,0.5,1446
Jackie Moreland,582,13.0,0.466,0.004,0.293,,,9.8,10.0,,,12.1,18.7,5.1,14.0,19.1,0.067,,,,,1447
Chris Morris,747,15.1,0.513,0.228,0.265,8.7,12.1,10.4,9.8,2.4,1.8,12.8,20.5,15.0,22.4,37.4,0.096,0.4,0.5,0.9,13.7,1448
Jaylen Morris,13,5.6,0.395,0.313,0.125,1.6,15.7,8.8,12.6,1.3,0.6,13.6,17.7,-0.3,0.1,-0.2,-0.061,-5.5,-0.7,-6.2,-0.2,1449
Marcus Morris,832,13.1,0.543,0.411,0.211,3.5,14.9,9.1,8.5,1.2,0.9,9.3,20.0,18.0,21.5,39.4,0.086,-0.4,-0.4,-0.8,6.7,1450
Markieff Morris,791,13.4,0.525,0.275,0.22,5.4,18.0,11.6,10.3,1.6,1.6,12.7,20.9,7.7,19.6,27.3,0.071,-1.5,0.0,-1.5,2.3,1451
Monte Morris,420,14.9,0.568,0.366,0.142,1.6,9.4,5.6,21.7,1.5,0.7,8.0,16.9,17.4,7.3,24.7,0.121,0.5,-0.3,0.3,5.6,1452
Terence Morris,139,9.9,0.442,0.218,0.088,7.3,15.1,11.3,8.0,1.0,1.8,13.2,14.7,-0.3,1.3,1.0,0.025,-2.0,-0.7,-2.8,-0.4,1453
Anthony Morrow,564,13.2,0.569,0.442,0.158,2.8,8.3,5.6,6.4,1.3,0.5,7.5,18.2,19.4,3.8,23.2,0.091,0.6,-1.3,-0.6,4.3,1454
Donatas Motiejūnas,251,12.4,0.526,0.259,0.268,7.3,15.6,11.5,9.6,1.3,1.4,14.1,19.3,2.5,4.6,7.1,0.075,-1.9,-0.5,-2.5,-0.5,1455
Rick Mount,283,13.8,0.501,0.128,0.25,2.4,4.5,3.5,15.0,1.4,0.3,11.4,23.1,5.0,5.4,10.5,0.079,-0.4,-1.4,-1.9,0.0,1456
Alonzo Mourning,838,21.2,0.583,0.009,0.604,10.1,21.4,15.9,6.7,0.8,6.6,15.2,25.6,41.8,48.0,89.7,0.166,0.8,1.4,2.2,27.4,1457
Timofey Mozgov,454,14.7,0.578,0.025,0.354,10.4,19.8,15.1,4.7,0.9,3.6,16.5,17.0,9.3,8.5,17.7,0.104,-1.8,-0.2,-2.0,0.0,1458
Emmanuel Mudiay,302,11.8,0.486,0.28,0.255,2.1,11.4,6.7,24.8,1.5,1.0,16.5,24.4,-4.2,4.0,-0.2,-0.001,-1.6,-1.6,-3.2,-2.2,1459
Erwin Mueller,445,11.1,0.464,0.0,0.35,7.4,14.3,9.8,11.8,0.0,0.0,28.2,14.7,0.9,8.3,9.1,0.045,-5.6,-0.4,-6.0,-0.1,1460
Shabazz Muhammad,278,15.9,0.549,0.194,0.336,7.0,11.6,9.3,5.5,0.9,0.4,7.4,22.9,7.7,0.7,8.5,0.085,0.9,-2.9,-2.0,0.0,1461
Byron Mullens,189,12.2,0.474,0.255,0.179,6.4,20.1,13.1,8.1,1.1,2.2,11.3,21.9,-1.4,1.9,0.6,0.008,-2.2,-1.9,-4.0,-1.8,1462
Chris Mullin,986,18.8,0.594,0.16,0.315,3.5,10.2,6.9,16.5,2.3,1.1,13.3,22.2,69.2,23.8,93.1,0.139,2.9,0.2,3.1,41.6,1463
Jeff Mullins,804,16.3,0.507,,0.238,3.5,6.8,5.5,17.9,1.6,0.5,,,36.3,26.5,62.8,0.123,0.3,-0.7,-0.4,1.6,1464
Eric Murdock,508,17.4,0.523,0.2,0.308,3.3,9.2,6.2,34.3,3.6,0.4,16.8,21.9,13.7,11.9,25.6,0.103,1.1,0.9,2.0,12.1,1465
Gheorghe Mureșan,307,18.1,0.594,0.0,0.345,11.4,22.5,17.0,3.6,1.3,4.8,14.9,19.7,9.4,9.6,19.0,0.136,-0.7,0.4,-0.3,2.9,1466
Calvin Murphy,1002,18.0,0.536,0.005,0.257,2.2,4.3,3.5,21.6,2.2,0.1,9.9,25.2,67.6,16.6,84.1,0.132,1.4,-0.8,0.6,15.8,1467
Tod Murphy,191,11.9,0.511,0.071,0.404,9.3,18.5,13.6,6.5,1.5,1.4,9.8,12.2,4.2,3.8,8.0,0.095,-1.3,-0.1,-1.5,0.6,1468
Troy Murphy,729,15.4,0.541,0.247,0.309,7.4,24.2,15.7,8.7,1.2,1.1,10.9,18.0,28.0,22.3,50.3,0.121,0.4,-0.3,0.1,10.6,1469
Dejounte Murray,503,17.3,0.527,0.259,0.182,3.3,18.3,10.7,27.8,2.4,0.8,12.5,24.5,9.6,16.6,26.2,0.085,0.7,0.7,1.4,12.6,1470
Jamal Murray,536,17.0,0.566,0.385,0.203,2.7,10.5,6.7,22.2,1.6,1.0,11.3,24.6,25.3,12.8,38.1,0.109,1.9,-1.0,0.9,12.4,1471
Ken Murray,181,9.9,0.398,,0.322,,,,,,,,,-0.4,4.0,3.6,0.0,,,,,1472
Lamond Murray,736,14.1,0.508,0.201,0.268,5.7,13.4,9.5,9.3,1.9,1.3,12.9,22.7,7.3,12.5,19.8,0.052,-0.2,-1.0,-1.2,4.0,1473
Ronald Murray,487,12.7,0.492,0.247,0.278,2.0,8.6,5.4,16.9,1.9,0.7,13.2,23.5,0.7,7.8,8.5,0.037,-1.3,-0.9,-2.2,-0.5,1474
Tracy Murray,659,14.6,0.539,0.383,0.197,4.7,11.0,7.8,7.0,1.5,1.0,9.9,22.3,15.7,8.5,24.1,0.096,1.0,-1.2,-0.1,5.8,1475
Dorie Murrey,357,11.7,0.49,,0.525,,,13.8,6.3,,,,,2.6,3.9,6.5,0.07,,,,,1476
Mike Muscala,548,13.5,0.583,0.548,0.19,5.7,16.6,11.2,8.2,1.0,2.6,9.9,16.0,10.4,8.8,19.2,0.112,-0.3,0.1,-0.2,3.7,1477
Dikembe Mutombo,1196,17.2,0.573,0.0,0.617,11.9,26.2,19.1,5.3,0.7,6.3,17.5,15.0,48.5,68.5,117.0,0.153,-0.1,1.8,1.7,33.9,1478
