name,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Nenad Krstić,,419,373,10547,13.6,.533,.004,.298,8.6,16.5,12.6,5.9,0.8,2.1,11.2,19.5,8.9,12.6,21.5,.098,-2.1,-0.5,-2.6,-1.5,
Larry Krystkowiak,,420,134,9097,12.0,.520,.013,.370,7.9,17.9,12.8,8.0,1.4,0.4,13.7,17.5,6.6,9.0,15.6,.082,-2.0,-0.7,-2.7,-1.6,
Steve Kuberski,,568,,7897,11.4,.464,,.263,9.5,15.1,12.4,5.6,0.5,0.4,33.3,16.6,0.9,10.4,11.4,.069,-1.7,-0.9,-2.6,-0.5,
Toni Kukoč,,846,259,22212,17.3,.532,.269,.306,5.3,13.3,9.3,23.6,1.9,1.0,14.3,21.9,33.9,25.7,59.6,.129,2.4,0.4,2.8,27.2,
Kevin Kunnert,,555,0,12104,14.6,.499,.000,.192,12.5,23.4,18.0,8.8,1.0,2.7,17.3,17.0,9.9,12.1,22.0,.087,-0.9,-0.3,-1.2,2.4,
Mitch Kupchak,,510,32,9905,16.2,.568,.001,.443,10.4,18.3,14.4,5.3,0.8,0.9,15.0,21.2,15.8,11.2,27.1,.131,0.2,-0.9,-0.7,3.2,
Kyle Kuzma,,541,408,16855,13.7,.542,.401,.206,3.6,18.2,11.0,13.2,0.9,1.4,12.1,24.5,-1.0,15.3,14.4,.041,-0.4,-1.1,-1.5,1.9,
Raef LaFrentz,,563,438,14545,16.1,.542,.275,.223,7.7,19.0,13.3,6.9,1.0,4.6,8.9,17.8,23.5,15.9,39.4,.130,0.3,0.4,0.7,9.8,
Tom LaGarde,,312,110,6194,11.5,.512,.001,.528,8.7,19.7,14.1,10.5,0.7,1.2,18.7,18.7,1.1,5.4,6.5,.050,-2.3,-0.7,-3.0,-1.6,
Rusty LaRue,,98,7,1565,8.9,.461,.342,.139,1.6,8.1,4.8,17.3,2.1,0.5,15.1,18.2,-0.6,1.2,0.5,.017,-3.4,-0.4,-3.8,-0.7,
Rudy LaRusso,,736,,24487,15.5,.504,,.452,,,,9.3,,,,,35.8,25.6,61.4,.120,,,,,
Zach LaVine,,654,565,21461,17.3,.587,.380,.273,1.5,12.4,6.9,19.9,1.3,0.8,13.0,27.0,24.4,12.9,37.3,.083,2.0,-1.3,0.7,14.5,
Skal Labissière,,152,43,2607,15.0,.547,.098,.276,9.5,19.1,14.2,8.9,1.0,3.4,13.3,19.3,2.3,2.1,4.4,.081,-1.6,-0.7,-2.3,-0.2,
Sam Lacey,,1002,40,31873,14.2,.480,.002,.244,7.3,23.8,15.7,15.6,1.9,2.7,23.0,14.9,9.0,41.9,50.9,.077,-0.1,2.4,2.4,25.9,
Wendell Ladner,,300,,7883,12.9,.423,.114,.132,7.9,20.2,14.4,10.8,3.7,0.2,13.0,22.5,-10.5,14.1,3.6,.022,-4.7,1.6,-3.1,-0.6,
Christian Laettner,,868,692,25760,16.9,.557,.042,.429,7.5,19.1,13.3,14.9,1.9,1.9,16.2,21.0,34.6,30.3,64.9,.121,0.4,0.6,1.0,19.5,
Bill Laimbeer,,1068,861,33956,16.1,.552,.055,.260,8.9,24.6,16.7,8.9,1.0,1.7,11.3,16.9,56.2,49.3,105.6,.149,0.7,0.8,1.4,29.3,
Jeremy Lamb,,573,136,11896,15.6,.545,.363,.229,2.8,16.3,9.5,11.9,1.7,1.5,8.0,21.3,13.9,12.9,26.8,.108,0.4,0.2,0.6,7.9,
John Lambert,,446,7,5564,10.4,.458,.007,.202,10.3,18.3,14.2,5.8,1.3,1.7,14.3,15.3,0.7,6.3,6.9,.060,-2.9,-0.2,-3.1,-1.5,
Jeff Lamp,,291,3,3471,11.5,.522,.042,.248,4.3,9.9,7.1,10.7,1.4,0.2,13.3,19.3,2.4,2.9,5.2,.072,-1.7,-0.8,-2.6,-0.5,
Carl Landry,,513,93,11524,17.5,.595,.008,.444,9.9,15.1,12.5,5.3,1.0,1.3,11.5,20.5,25.7,10.2,35.9,.149,0.5,-0.8,-0.3,5.0,
Mark Landsberger,,437,5,7306,12.8,.497,.001,.378,16.1,24.1,20.2,4.3,0.8,0.5,16.0,16.3,4.2,8.0,12.2,.080,-0.8,-2.2,-3.0,-1.9,
Jerome Lane,,218,79,3215,12.6,.440,.014,.373,16.5,23.2,19.6,12.6,1.9,0.7,16.6,18.4,-1.1,3.4,2.3,.034,-2.5,-1.1,-3.6,-1.3,
Andrew Lang,,737,380,15344,11.7,.516,.005,.308,8.9,17.0,13.0,4.1,1.1,4.6,14.0,14.2,7.6,21.0,28.6,.089,-2.9,1.1,-1.8,0.7,
Antonio Lang,,143,1,1395,8.8,.515,.030,.455,7.3,12.2,9.8,6.0,2.3,2.9,21.8,14.5,-0.5,2.1,1.7,.057,-5.1,1.3,-3.8,-0.6,
Bob Lanier,,959,179,32103,21.7,.559,.001,.322,8.3,21.5,15.6,14.4,1.5,2.5,14.9,22.6,75.4,41.7,117.1,.175,3.5,1.0,4.5,39.4,
Stu Lantz,,547,,15267,13.4,.508,,.399,4.1,6.9,5.4,13.7,1.5,0.3,,,17.1,15.3,32.5,.102,-1.5,-0.6,-2.1,-0.1,
Shane Larkin,,256,41,4880,11.4,.500,.270,.191,1.9,9.6,5.7,22.9,2.6,0.4,17.7,15.7,1.2,3.2,4.4,.044,-2.6,0.1,-2.4,-0.6,
Dave Lattin,,263,,4157,13.6,.515,.002,.431,8.1,14.6,13.7,5.8,,,16.3,19.1,4.3,2.0,6.3,.072,,,,,
Ty Lawson,,551,344,16088,17.2,.555,.243,.362,2.5,8.0,5.3,32.2,2.0,0.3,15.6,20.3,32.6,9.5,42.1,.126,2.0,-0.6,1.4,13.6,
Jake Layman,,243,49,3099,11.1,.547,.439,.179,3.5,10.9,7.2,5.8,1.5,1.9,10.2,16.3,1.3,2.5,3.8,.059,-1.9,-0.4,-2.3,-0.2,
Mo Layton,,267,,4494,11.8,.485,.000,.231,1.5,5.8,3.9,21.0,1.4,0.4,25.6,17.8,1.4,3.0,4.4,.047,-1.1,-1.5,-2.6,-0.3,
Caris LeVert,,524,223,14552,14.6,.533,.366,.245,2.8,12.1,7.5,22.0,1.8,1.2,11.9,22.9,9.0,14.8,23.9,.079,-0.2,0.0,-0.2,6.5,
