name,pos,games,games_started,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,awards
Tim Bassett,,473,,11230,1220,2883,.423,4,14,.286,1216,2869,.424,.424,489,831,.588,1149,1999,3148,576,358,227,473,1264,2933,0,
Maceo Baston,,105,4,831,106,172,.616,3,8,.375,103,164,.628,.625,71,96,.740,56,119,175,26,24,43,54,140,286,0,
Keita Bates-Diop,,283,67,4565,634,1337,.474,146,438,.333,488,899,.543,.529,283,377,.751,208,640,848,241,146,99,154,242,1697,0,
Tony Battie,,837,429,17649,2143,4387,.488,12,74,.162,2131,4313,.494,.490,784,1137,.690,1376,2911,4287,522,420,713,704,2203,5082,0,
Shane Battier,,977,705,30004,2982,6819,.437,1250,3254,.384,1732,3565,.486,.529,1194,1606,.743,1273,2809,4082,1717,988,906,878,2208,8408,0,
John Battle,,612,62,10910,2054,4430,.464,62,227,.273,1992,4203,.474,.471,1168,1472,.793,178,646,824,1257,273,43,659,874,5338,0,
Nicolas Batum,,1131,871,32635,3995,9144,.437,1750,4743,.369,2245,4401,.510,.533,1520,1828,.832,1093,4379,5472,3548,1028,697,1666,1949,11260,9,
Johnny Baum,,244,1,3397,630,1312,.480,0,2,.000,630,1310,.481,.480,238,314,.758,210,327,666,141,36,16,147,331,1498,0,
Jerryd Bayless,,586,99,12486,1719,4180,.411,499,1382,.361,1220,2798,.436,.471,972,1188,.818,176,1059,1235,1674,370,73,825,1206,4909,0,
Elgin Baylor,,846,,33863,8693,20171,.431,,,,,,,,5763,7391,.780,,,11463,3650,,,,2596,23149,26,
Aron Baynes,,522,168,8370,1243,2543,.489,111,360,.308,1132,2183,.519,.511,518,652,.794,805,1591,2396,421,118,255,445,1164,3115,0,
Kent Bazemore,,657,310,13546,1929,4668,.413,694,1947,.356,1235,2721,.454,.488,862,1190,.724,237,1835,2072,1154,658,309,905,1338,5414,0,
Darius Bazley,,237,118,5536,773,1869,.414,234,757,.309,539,1112,.485,.476,333,492,.677,194,1050,1244,282,138,177,292,230,2113,0,
Bradley Beal,,801,752,27560,6346,13664,.464,1717,4569,.376,4629,9095,.509,.527,2848,3467,.821,689,2557,3246,3432,882,339,1938,1805,17257,2,
Butch Beard,,605,,14283,2187,4495,.487,,,,,,,,1248,1619,.771,482,970,2042,2189,499,36,164,1581,5622,0,
John Beasley,,506,,13947,2786,5670,.491,81,256,.316,2705,5414,.500,.499,1256,1512,.831,1359,2898,4257,602,7,10,623,1294,6909,0,
Malik Beasley,,578,209,13739,2429,5702,.426,1453,3715,.391,976,1987,.491,.553,427,555,.769,249,1363,1612,789,387,67,474,779,6738,0,
Michael Beasley,,609,238,13903,3088,6644,.465,291,835,.349,2797,5809,.481,.487,1101,1450,.759,664,2197,2861,788,345,314,1025,1294,7568,0,
Zelmo Beaty,,889,,29676,5724,11580,.494,2,13,.154,5722,11567,.495,.494,3757,4873,.771,1286,2757,9665,1365,107,172,726,3244,15207,0,
Byron Beck,,747,,19197,3681,7295,.505,13,44,.295,3668,7251,.506,.505,1228,1515,.811,1635,3067,5261,978,220,55,933,2267,8603,0,
Ernie Beck,,371,,7054,929,2425,.383,,,,,,,,467,613,.762,,,1191,669,,,,667,2325,0,
Art Becker,,414,,10554,2116,4408,.480,9,28,.321,2107,4380,.481,.481,919,1101,.835,860,1744,2604,410,,,585,1411,5160,0,
William Bedford,,238,30,2514,405,974,.416,7,22,.318,398,952,.418,.419,147,243,.605,201,372,573,109,37,126,173,358,964,0,
Ron Behagen,,388,10,9131,1594,3750,.425,0,0,,1594,3750,.425,.425,789,1047,.754,888,1824,2712,624,290,160,189,1293,3977,0,
Marco Belinelli,,860,219,19548,2949,6959,.424,1216,3230,.376,1733,3729,.465,.511,1256,1485,.846,187,1582,1769,1429,488,65,850,1222,8370,0,
Charlie Bell,,376,137,9368,1192,2891,.412,438,1213,.361,754,1678,.449,.488,382,497,.769,180,634,814,857,303,31,362,750,3204,1,
